ID Date gender age handiness kind user truth accurate
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon happy neutral 0
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon sad neutral 0
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right cartoon neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan sad neutral 0
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan happy happy 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan sad sad 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan neutral neutral 1
 Ê“∂‹∆ 2021-01-26 03:22:39.803515+00:00 female 25 right realMan happy happy 1
